trans_id,lang,translation
西条西本町,zh-cn,西条西本町
西条西本町,zh-tw,西條西本町
栄町,ja,栄町
栄町,ja-Hrkt,さかえまち
栄町,en,Sakaemachi
栄町,ko,사카에마치
栄町,zh-cn,荣町
栄町,zh-tw,榮町
中央公園前,ja,中央公園前
中央公園前,ja-Hrkt,ちゅうおうこうえんまえ
中央公園前,en,Chuo Koen-mae (Chuo Park)
中央公園前,ko,추오 공원
中央公園前,zh-cn,中央公园前
中央公園前,zh-tw,中央公園前
西条駅,ja,西条駅
西条駅,ja-Hrkt,さいじょうえき
西条駅,en,Saijo Sta.
西条駅,ko,사이조 역
西条駅,zh-cn,西条站
西条駅,zh-tw,西條站
本通り,ja,本通り
本通り,ja-Hrkt,ほんどおり
本通り,en,Hon-dori (Hon-dori Ave.)
本通り,ko,혼도리
本通り,zh-cn,本通
本通り,zh-tw,本通
中電前,ja,中電前
中電前,ja-Hrkt,ちゅうでんまえ
中電前,en,Chuden-mae
中電前,ko,주덴 마에
中電前,zh-cn,中电前
中電前,zh-tw,中電前
市役所前,ja,市役所前
市役所前,ja-Hrkt,しやくしょまえ
市役所前,en,Shiyakusho-mae (City Hall)
市役所前,ko,시청
市役所前,zh-cn,市政府前
市役所前,zh-tw,市政府前
昭和町,ja,昭和町
昭和町,ja-Hrkt,しょうわまち
昭和町,en,Showamachi
昭和町,ko,쇼와마치 （국도2호선)
昭和町,zh-cn,昭和町（国道2号线）
昭和町,zh-tw,昭和町（國道2號線）
南区役所前,ja,南区役所前
南区役所前,ja-Hrkt,みなみくやくしょまえ
南区役所前,en,Minami Kuyakusho-mae (Minami Ward Office)
南区役所前,ko,미나미 구청
南区役所前,zh-cn,南区政府前
南区役所前,zh-tw,南區政府前
出汐町,ja,出汐町
出汐町,ja-Hrkt,でしおちょう
出汐町,en,Deshiocho
出汐町,ko,데시오초
出汐町,zh-cn,出汐町
出汐町,zh-tw,出汐町
大学病院南門,ja,大学病院南門
大学病院南門,ja-Hrkt,だいがくびょういんみなみもん
