region_id,region_nm,ward_nm,population,households,area_km2,pop_density
34102142001,戸坂千足一丁目,広島市東区,1850,854,0.26371461011597513,7015.159301133965
34102142002,戸坂千足二丁目,広島市東区,908,381,0.16786172235910352,5409.214127194121
341021430,戸坂山崎町,広島市東区,1234,521,0.07996717770355642,15431.331146567645
34102144001,戸坂惣田一丁目,広島市東区,626,298,0.11749304932897657,5327.974748933625
34102144002,戸坂惣田二丁目,広島市東区,251,108,0.06651969640649531,3773.31848398952
341021450,戸坂中町,広島市東区,425,189,0.036971694140493935,11495.28064321269
341021460,戸坂桜東町,広島市東区,512,227,0.053145853596434284,9633.865397814434
341021470,戸坂桜西町,広島市東区,463,204,0.04557527814994854,10159.016440375204
341021480,戸坂桜上町,広島市東区,649,363,0.07996814487783152,8115.731595268173
34102149001,戸坂山根一丁目,広島市東区,1096,519,0.06524611254126636,16797.93565182616
34102149002,戸坂山根二丁目,広島市東区,1126,447,0.08928354975502696,12611.50573750124
34102149003,戸坂山根三丁目,広島市東区,400,166,0.09571493888685718,4179.075958799205
34102150001,戸坂出江一丁目,広島市東区,637,281,0.0829034051007379,7683.640970186521
34102150002,戸坂出江二丁目,広島市東区,897,376,0.08017681810916676,11187.772490281008
341021510,戸坂城山町,広島市東区,42,1,0.09425340508734312,445.6072431662206
34102152001,戸坂数甲一丁目,広島市東区,330,120,0.034125853588930735,9670.087786669776
34102152002,戸坂数甲二丁目,広島市東区,645,270,0.09149237106101166,7049.768112030695
34102153001,戸坂大上一丁目,広島市東区,379,142,0.3719245977053993,1019.0237546487987
34102153002,戸坂大上二丁目,広島市東区,376,162,0.08532501422148203,4406.679605396837
34102153003,戸坂大上三丁目,広島市東区,298,119,0.03536476066323707,8426.467319762794
34102153004,戸坂大上四丁目,広島市東区,1465,623,0.20305329062176442,7214.854758147775
34102154001,戸坂新町一丁目,広島市東区,479,233,0.05557429041966154,8619.093404214394
34102154002,戸坂新町二丁目,広島市東区,1919,1002,0.23661794548691906,8110.12028716177
34102154003,戸坂新町三丁目,広島市東区,0,0,0.11319250132995422,0.0
34102155001,戸坂南一丁目,広島市東区,997,525,0.30092281416051353,3313.141952302081
34102155002,戸坂南二丁目,広島市東区,646,181,0.0738179835732336,8751.25502932648
34102156001,尾長東一丁目,広島市東区,555,292,0.037987159676347006,14610.199992014012
34102156002,尾長東二丁目,広島市東区,732,378,0.06000583249263207,12198.814175103396
34102156003,尾長東三丁目,広島市東区,606,307,0.1027254434669826,5899.220091415588
34102157001,尾長西一丁目,広島市東区,624,323,0.04001521068274904,15594.07008867787
34102157002,尾長西二丁目,広島市東区,830,325,0.09757281294853147,8506.467887092846
34102158001,曙一丁目,広島市東区,407,176,0.04939248269463556,8240.120313778105
34102158002,曙二丁目,広島市東区,626,378,0.04162913528658081,15037.545115711102
34102158003,曙三丁目,広島市東区,102,62,0.027155731595597442,3756.1131299639337
34102158004,曙四丁目,広島市東区,418,263,0.030129254529956975,13873.559320373828
34102158005,曙五丁目,広島市東区,401,271,0.02152822105645943,18626.713231360194
341021590,戸坂長尾台,広島市東区,196,84,0.12830839231853094,1527.569603657895
34102161001,中山南一丁目,広島市東区,1847,786,0.13634515782212736,13546.502343776316
34102161002,中山南二丁目,広島市東区,421,170,0.053454981317707595,7875.786121742386
34102162001,中山西一丁目,広島市東区,604,267,0.18422418729346268,3278.6140021768647
34102162002,中山西二丁目,広島市東区,1649,648,0.36478072008706103,4520.524000299244
34102163001,中山東一丁目,広島市東区,781,326,0.10536770202537209,7412.138492039417
34102163002,中山東二丁目,広島市東区,292,138,0.04164379480581639,7011.848976818423
34102163003,中山東三丁目,広島市東区,411,150,0.18370720927906609,2237.255694062925
341021640,中山中町,広島市東区,1250,511,0.3932484879630606,3178.651764116681
34102165001,中山上一丁目,広島市東区,866,227,0.19022561555023537,4552.488882714662
34102165002,中山上二丁目,広島市東区,1704,663,0.2050447483927842,8310.381091720592
341021660,中山北町,広島市東区,452,149,0.14430335600879476,3132.290284173656
341021670,中山鏡が丘,広島市東区,798,303,0.1961993140717211,4067.292506987508
