region_id,region_nm,bus_stop_cnt
341057750,沼田町大字吉山,14
34105847001,川内一丁目,2
34105847002,川内二丁目,2
34105847003,川内三丁目,1
34105847004,川内四丁目,2
34105847005,川内五丁目,3
34105847006,川内六丁目,2
34105848001,八木一丁目,3
34105848002,八木二丁目,2
34105848004,八木四丁目,1
34105848005,八木五丁目,2
34105848006,八木六丁目,2
34105848007,八木七丁目,2
34105848008,八木八丁目,1
34105848009,八木九丁目,3
34105849001,緑井一丁目,5
34105849002,緑井二丁目,2
34105849003,緑井三丁目,1
34105849004,緑井四丁目,2
34105849005,緑井五丁目,2
34105849006,緑井六丁目,6
341058500,八木町,6
34105866001,大町東一丁目,1
34105866002,大町東二丁目,2
34105866003,大町東三丁目,2
34105866004,大町東四丁目,1
34105867001,大町西一丁目,5
34105867002,大町西二丁目,3
34105867003,大町西三丁目,3
34105869001,毘沙門台一丁目,2
34105869002,毘沙門台二丁目,1
34105869003,毘沙門台三丁目,5
34105869004,毘沙門台四丁目,2
34105870001,安東一丁目,2
34105870002,安東二丁目,3
34105870004,安東四丁目,3
34105870005,安東五丁目,3
34105870006,安東六丁目,1
34105870007,安東七丁目,3
34105871002,上安二丁目,7
34105871004,上安四丁目,2
34105871005,上安五丁目,4
34105871006,上安六丁目,2
341058720,上安町,2
34105873001,相田一丁目,2
34105873002,相田二丁目,3
34105873003,相田三丁目,6
34105873004,相田四丁目,1
34105873005,相田五丁目,3
34105873006,相田六丁目,3
34105873007,相田七丁目,6
34105875002,高取南二丁目,5
34105875003,高取南三丁目,2
34105876001,高取北一丁目,3
34105876002,高取北二丁目,2
34105876003,高取北三丁目,1
34105876004,高取北四丁目,4
34105879001,長楽寺一丁目,4
34105879002,長楽寺二丁目,1
34105879003,長楽寺三丁目,3
34105881001,長束一丁目,1
34105881003,長束三丁目,2
34105881004,長束四丁目,2
34105882002,長束西二丁目,2
34105882003,長束西三丁目,1
34105882005,長束西五丁目,1
34105885001,西原一丁目,1
34105885002,西原二丁目,1
34105885005,西原五丁目,3
34105885006,西原六丁目,2
34105886001,山本一丁目,4
34105886002,山本二丁目,2
34105886004,山本四丁目,4
34105886005,山本五丁目,4
34105886006,山本六丁目,1
34105886007,山本七丁目,3
34105888001,祇園一丁目,2
34105888002,祇園二丁目,3
34105888003,祇園三丁目,2
34105888005,祇園五丁目,6
34105888008,祇園八丁目,1
34105895002,古市二丁目,3
34105895003,古市三丁目,3
34105896001,中須一丁目,2
34105896002,中須二丁目,1
34105897001,中筋一丁目,1
34105897002,中筋二丁目,4
34105898001,毘沙門台東一丁目,1
34105898002,毘沙門台東二丁目,1
341058990,伴東町,1
34105900001,伴中央一丁目,1
34105900002,伴中央二丁目,2
34105900003,伴中央三丁目,2
34105900004,伴中央四丁目,3
34105900005,伴中央五丁目,1
34105900006,伴中央六丁目,3
34106715001,口田一丁目,2
34106715003,口田三丁目,3
34106717001,口田南一丁目,1
34106717002,口田南二丁目,6
34106717004,口田南四丁目,1
34106717005,口田南五丁目,2
34106717006,口田南六丁目,1
34106717007,口田南七丁目,4
34106717008,口田南八丁目,5
34106717009,口田南九丁目,3
34106719002,落合二丁目,5
34106719003,落合三丁目,2
34106719004,落合四丁目,4
34106719005,落合五丁目,2
34106721001,落合南一丁目,1
34106721002,落合南二丁目,3
34106721003,落合南三丁目,2
34106721004,落合南四丁目,1
34106721005,落合南五丁目,2
34106721007,落合南七丁目,2
34106721008,落合南八丁目,2
34106721009,落合南九丁目,1
34106723001,真亀一丁目,3
34106723003,真亀三丁目,2
34106723005,真亀五丁目,1
34106724001,亀崎一丁目,2
34106724002,亀崎二丁目,2
34106724003,亀崎三丁目,2
34106724004,亀崎四丁目,1
34106725001,倉掛一丁目,4
34106725002,倉掛二丁目,2
34106725003,倉掛三丁目,4
34106726001,深川一丁目,1
34106726002,深川二丁目,1
34106726003,深川三丁目,1
34106726005,深川五丁目,4
34106726006,深川六丁目,4
34106726008,深川八丁目,2
341067270,深川町,1
341067280,上深川町,7
341067290,小河原町,5
341067300,狩留家町,4
34106740001,可部一丁目,1
34106740002,可部二丁目,2
34106740003,可部三丁目,1
34106740004,可部四丁目,1
34106740005,可部五丁目,1
34106740006,可部六丁目,1
34106740007,可部七丁目,2
34106740008,可部八丁目,1
34106740009,可部九丁目,2
34106741002,可部東二丁目,2
34106741003,可部東三丁目,3
34106741004,可部東四丁目,3
34106742001,可部南一丁目,1
34106742002,可部南二丁目,1
34106742003,可部南三丁目,3
34106742004,可部南四丁目,3
34106742005,可部南五丁目,1
34106743002,亀山二丁目,3
34106743003,亀山三丁目,1
34106743005,亀山五丁目,3
34106743007,亀山七丁目,2
34106743009,亀山九丁目,4
34106744002,亀山南二丁目,4
34106744004,亀山南四丁目,2
34106744005,亀山南五丁目,3
34106745001,三入一丁目,4
34106745002,三入二丁目,2
34106745004,三入四丁目,1
34106745005,三入五丁目,1
34106745006,三入六丁目,2
34106746001,三入東一丁目,4
34106746002,三入東二丁目,3
34106747001,三入南一丁目,1
34106747002,三入南二丁目,3
34106748001,大林一丁目,4
34106748002,大林二丁目,1
34106748003,大林三丁目,2
34106748004,大林四丁目,1
341067490,大林町,8
34106753002,亀山西二丁目,4
341067600,可部町大字桐原,3
341067610,可部町大字南原,7
341067620,可部町大字綾ケ谷,16
341067630,可部町大字勝木,8
341067650,可部町大字今井田,8
341067760,安佐町大字久地,21
341067770,安佐町大字毛木,7
341067780,安佐町大字後山,9
341067790,安佐町大字宮野,2
341067800,安佐町大字筒瀬,10
341067810,安佐町大字小河内,24
341067820,安佐町大字鈴張,23
341067830,安佐町大字飯室,32
341068220,白木町大字井原,13
341068230,白木町大字古屋,3
341068240,白木町大字志路,11
341068250,白木町大字秋山,3
341068260,白木町大字小越,1
341068270,白木町大字市川,3
341068290,白木町大字三田,13
34106960001,あさひが丘一丁目,2
34106960003,あさひが丘三丁目,1
34106960004,あさひが丘四丁目,2
34106960006,あさひが丘六丁目,1
34106960007,あさひが丘七丁目,2
34106960008,あさひが丘八丁目,1
34106960009,あさひが丘九丁目,1
341069610,安佐町大字動物園,1
341069630,安佐町大字くすの木台,3
341078300,阿戸町,14
34107834000,矢野町,2
34107837001,船越南一丁目,1
34107837003,船越南三丁目,1
34107837004,船越南四丁目,1
34107837005,船越南五丁目,1
34107845001,矢野東一丁目,1
34107845004,矢野東四丁目,1
34107845005,矢野東五丁目,2
34107845006,矢野東六丁目,3
34107845007,矢野東七丁目,2
34107846001,矢野西一丁目,1
34107846002,矢野西二丁目,1
34107846004,矢野西四丁目,3
34107852001,畑賀一丁目,1
34107852002,畑賀二丁目,2
34107852003,畑賀三丁目,3
34107853004,畑賀町水谷,1
34107853006,畑賀町奥畑,1
34107856001,中野東一丁目,2
34107856002,中野東二丁目,1
34107856003,中野東三丁目,1
34107856004,中野東四丁目,2
34107856006,中野東六丁目,1
34107856007,中野東七丁目,4
34107858001,瀬野一丁目,3
34107858003,瀬野三丁目,1
341078590,瀬野町,9
34107862001,上瀬野一丁目,2
34107862002,上瀬野二丁目,2
341078630,上瀬野町,8
34107864002,上瀬野南二丁目,1
34107890001,矢野新町一丁目,2
34107890002,矢野新町二丁目,1
34107899001,矢野南一丁目,1
34107899002,矢野南二丁目,3
34107899004,矢野南四丁目,1
34107899005,矢野南五丁目,3
341084380,杉並台,5
341084390,湯来町大字下,13
341084400,湯来町大字白砂,12
341084410,湯来町大字菅沢,5
341084420,湯来町大字多田,29
341084430,湯来町大字葛原,11
34108444001,湯来町大字伏谷,14
341084450,湯来町大字麦谷,12
341084460,湯来町大字和田,11
341089100,五日市町大字石内,17
34108911001,五月が丘一丁目,2
34108911002,五月が丘二丁目,1
34108911003,五月が丘三丁目,2
34108911004,五月が丘四丁目,4
34108911005,五月が丘五丁目,1
341089120,五日市町大字上河内,9
341089130,五日市町大字下河内,6
341089140,五日市町大字上小深川,3
341089160,五日市町大字保井田,1
34108927002,美鈴が丘東二丁目,1
34108927003,美鈴が丘東三丁目,1
34108928001,美鈴が丘西一丁目,1
34108929001,美鈴が丘南一丁目,1
34108929003,美鈴が丘南三丁目,1
34108938002,三筋二丁目,1
34108940004,五日市中央四丁目,2
34108940006,五日市中央六丁目,1
34108940007,五日市中央七丁目,1
34108941005,五日市五丁目,1
341089420,新宮苑,1
34108943001,五日市駅前一丁目,1
34108943003,五日市駅前三丁目,2
341089460,旭園,2
341089470,海老山町,1
34108948001,海老園一丁目,1
34108948002,海老園二丁目,1
34108949002,楽々園二丁目,1
34108949003,楽々園三丁目,1
34108949004,楽々園四丁目,1
34108950002,隅の浜二丁目,2
34108950003,隅の浜三丁目,1
34108953002,皆賀二丁目,3
34108953004,皆賀四丁目,1
34108959001,藤の木一丁目,3
34108959002,藤の木二丁目,2
34108971001,城山一丁目,3
34108972002,八幡東二丁目,1
