region_id,region_nm,bus_stop_cnt
34104434001,山田新町一丁目,2
34104434002,山田新町二丁目,4
34104435001,井口台一丁目,3
34104435002,井口台二丁目,7
34104435003,井口台三丁目,6
34104435004,井口台四丁目,2
34105169001,山本新町一丁目,5
34105169002,山本新町二丁目,2
34105169003,山本新町三丁目,4
34105169005,山本新町五丁目,2
34105731001,伴南一丁目,7
34105731002,伴南二丁目,6
34105731004,伴南四丁目,4
34105731005,伴南五丁目,6
34105732206,伴北六丁目,4
34105750004,伴東四丁目,4
34105750005,伴東五丁目,10
34105750006,伴東六丁目,1
34105750007,伴東七丁目,9
34105750008,伴東八丁目,6
34105751001,大塚東一丁目,5
34105751002,大塚東二丁目,7
34105751003,大塚東三丁目,4
34105752001,大塚西一丁目,10
34105752003,大塚西三丁目,4
34105752004,大塚西四丁目,7
34105752005,大塚西五丁目,1
34105752006,大塚西六丁目,5
34105752007,大塚西七丁目,9
34105847001,川内一丁目,2
34105847003,川内三丁目,2
34105847004,川内四丁目,4
34105848002,八木二丁目,6
34105848003,八木三丁目,9
34105848004,八木四丁目,5
34105848005,八木五丁目,7
34105848006,八木六丁目,8
34105848007,八木七丁目,3
34105848008,八木八丁目,15
34105849001,緑井一丁目,23
34105849002,緑井二丁目,6
34105849003,緑井三丁目,5
34105849004,緑井四丁目,1
34105849005,緑井五丁目,4
34105849006,緑井六丁目,26
34105849008,緑井八丁目,4
34105866001,大町東一丁目,2
34105866002,大町東二丁目,5
34105866003,大町東三丁目,3
34105866004,大町東四丁目,2
34105867001,大町西一丁目,1
34105867003,大町西三丁目,3
34105869001,毘沙門台一丁目,5
34105869002,毘沙門台二丁目,4
34105869003,毘沙門台三丁目,7
34105869004,毘沙門台四丁目,4
34105870001,安東一丁目,4
34105870002,安東二丁目,4
34105870004,安東四丁目,6
34105870005,安東五丁目,13
34105870006,安東六丁目,4
34105870007,安東七丁目,6
34105871002,上安二丁目,10
34105871004,上安四丁目,4
34105871005,上安五丁目,6
34105871007,上安七丁目,5
34105873001,相田一丁目,5
34105873002,相田二丁目,3
34105873004,相田四丁目,1
34105876001,高取北一丁目,4
34105876003,高取北三丁目,1
34105879001,長楽寺一丁目,6
34105879002,長楽寺二丁目,2
34105881001,長束一丁目,3
34105881002,長束二丁目,5
34105881003,長束三丁目,4
34105881004,長束四丁目,4
34105882001,長束西一丁目,1
34105882002,長束西二丁目,2
34105882003,長束西三丁目,4
34105882005,長束西五丁目,2
34105885001,西原一丁目,7
34105885002,西原二丁目,3
34105885004,西原四丁目,6
34105885005,西原五丁目,12
34105885006,西原六丁目,3
34105885009,西原九丁目,3
34105886001,山本一丁目,6
34105886002,山本二丁目,1
34105886003,山本三丁目,1
34105886004,山本四丁目,6
34105886005,山本五丁目,8
34105886007,山本七丁目,3
34105888001,祇園一丁目,4
34105888002,祇園二丁目,6
34105888003,祇園三丁目,5
34105888004,祇園四丁目,1
34105888005,祇園五丁目,6
34105895001,古市一丁目,6
34105895002,古市二丁目,5
34105895003,古市三丁目,12
34105896001,中須一丁目,10
34105896002,中須二丁目,4
34105897002,中筋二丁目,2
34105898001,毘沙門台東一丁目,5
341058990,伴東町,2
34105900005,伴中央五丁目,2
34105900006,伴中央六丁目,2
34106715001,口田一丁目,9
34106715003,口田三丁目,1
34106715004,口田四丁目,3
34106717001,口田南一丁目,6
34106717002,口田南二丁目,8
34106717003,口田南三丁目,6
34106717004,口田南四丁目,2
34106717007,口田南七丁目,5
34106717008,口田南八丁目,19
34106717009,口田南九丁目,16
34106719001,落合一丁目,6
34106719002,落合二丁目,19
34106719003,落合三丁目,4
34106719004,落合四丁目,19
34106719005,落合五丁目,10
34106721001,落合南一丁目,3
34106721002,落合南二丁目,29
34106721003,落合南三丁目,6
34106721004,落合南四丁目,3
34106721005,落合南五丁目,2
34106721007,落合南七丁目,4
34106721008,落合南八丁目,7
34106721009,落合南九丁目,3
34106723001,真亀一丁目,18
34106723002,真亀二丁目,13
34106723003,真亀三丁目,6
34106723004,真亀四丁目,1
34106723005,真亀五丁目,10
34106724001,亀崎一丁目,23
34106724002,亀崎二丁目,16
34106724003,亀崎三丁目,7
34106724004,亀崎四丁目,6
34106725001,倉掛一丁目,10
34106725002,倉掛二丁目,8
34106725003,倉掛三丁目,19
34106726001,深川一丁目,4
34106726002,深川二丁目,4
34106726003,深川三丁目,2
34106726005,深川五丁目,8
34106726006,深川六丁目,17
34106726007,深川七丁目,10
34106726008,深川八丁目,6
341067270,深川町,3
341067280,上深川町,24
341067290,小河原町,13
341067300,狩留家町,8
34106740002,可部二丁目,15
34106740003,可部三丁目,14
34106740004,可部四丁目,13
34106740005,可部五丁目,10
34106740006,可部六丁目,5
34106740007,可部七丁目,4
34106740008,可部八丁目,9
34106740009,可部九丁目,4
34106741001,可部東一丁目,2
34106741002,可部東二丁目,4
34106741003,可部東三丁目,7
34106741004,可部東四丁目,7
34106741006,可部東六丁目,4
34106742001,可部南一丁目,10
34106742002,可部南二丁目,7
34106742003,可部南三丁目,5
34106742004,可部南四丁目,11
34106742005,可部南五丁目,9
34106743002,亀山二丁目,8
34106743003,亀山三丁目,4
34106743004,亀山四丁目,4
34106743005,亀山五丁目,7
34106743007,亀山七丁目,10
34106743009,亀山九丁目,15
34106744001,亀山南一丁目,9
34106744002,亀山南二丁目,8
34106744004,亀山南四丁目,5
34106744005,亀山南五丁目,10
34106745001,三入一丁目,28
34106745002,三入二丁目,3
34106745003,三入三丁目,6
34106745004,三入四丁目,1
34106745005,三入五丁目,11
34106745006,三入六丁目,8
34106746001,三入東一丁目,7
34106746002,三入東二丁目,8
34106747001,三入南一丁目,2
34106747002,三入南二丁目,7
34106748001,大林一丁目,9
34106748002,大林二丁目,15
34106748003,大林三丁目,12
34106748004,大林四丁目,2
341067490,大林町,23
34106753001,亀山西一丁目,4
34106753002,亀山西二丁目,5
341067600,可部町大字桐原,6
341067610,可部町大字南原,14
341067620,可部町大字綾ケ谷,33
341067630,可部町大字勝木,24
341067650,可部町大字今井田,16
341067760,安佐町大字久地,12
341067780,安佐町大字後山,2
341067800,安佐町大字筒瀬,16
341067810,安佐町大字小河内,46
341067820,安佐町大字鈴張,54
341067830,安佐町大字飯室,95
341068220,白木町大字井原,32
341068230,白木町大字古屋,6
341068240,白木町大字志路,26
341068250,白木町大字秋山,6
341068260,白木町大字小越,2
341068270,白木町大字市川,8
341068290,白木町大字三田,28
34106960001,あさひが丘一丁目,2
34106960002,あさひが丘二丁目,1
34106960003,あさひが丘三丁目,3
34106960004,あさひが丘四丁目,2
34106960005,あさひが丘五丁目,3
34106960006,あさひが丘六丁目,4
34106960007,あさひが丘七丁目,2
