region_id,region_nm,area_km2
11200520,노량진2동,0.6001241793961171
11200530,상도1동,1.4814326215651679
11200630,사당1동,0.6346975537700481
11250560,고덕2동,2.473374982360957
11200660,사당4동,0.43582241007370215
11250590,암사3동,1.797967186667379
11250610,천호1동,0.6684774407063894
11250630,천호3동,0.5611167518457311
11200690,신대방1동,0.6747847301236534
11210540,청림동,0.2969337246869572
11210610,중앙동,0.38444261995657125
11210630,남현동,3.2785714883746366
11210650,신원동,0.5445749476604281
11250720,암사1동,0.7349074677177043
11250730,천호2동,1.849737093643361
11250740,길동,1.6303438666349468
11250750,강일동,2.2703834568156003
11250770,상일2동,1.1155249935338964
11210680,신사동,0.6406301653911992
11210690,신림동,0.5407696952988511
11210710,난향동,0.8207919534738227
11210720,조원동,0.6661174476422647
11220510,서초1동,1.3816403820720047
11220520,서초2동,1.2299920773817399
11220540,서초4동,0.8791082708452472
11220550,잠원동,1.755541339505911
11220560,반포본동,0.9718072198326961
11230600,대치1동,0.8092048156082495
11220580,반포2동,1.3949826072868814
11220590,반포3동,1.2507665253635876
11230630,대치4동,0.7005469277537415
11220610,방배본동,0.6770022608332347
11220620,방배1동,0.6887266877161384
11220640,방배3동,2.373348793078361
11230510,신사동,2.0576786457562597
11230511,개포3동,1.2992929533090762
11230520,논현1동,1.2577917829258476
11240570,방이1동,0.6087869065403865
11230530,논현2동,1.4574170035359824
11230580,삼성1동,1.9431435326693276
11230590,삼성2동,1.2413261987014943
11230640,역삼1동,2.360341393955667
11230650,역삼2동,1.1341660162880605
11230660,도곡1동,1.049811325219223
11230670,도곡2동,0.9900085131403382
11230680,개포1동,1.448844313923387
11230710,개포4동,1.6641919336066235
11230720,일원본동,2.352816395596485
11230730,일원1동,0.9527379558966073
11230750,수서동,1.6281468407620265
11230770,압구정동,2.3432777495913917
11230780,청담동,2.32744310076374
11230790,대치2동,1.8359623759582842
11230800,개포2동,2.2416222063870075
11240510,풍납1동,1.074461394691521
11240520,풍납2동,2.562573008519542
11240530,거여1동,0.5219015798986636
11240540,거여2동,0.5092227971223169
11240560,마천2동,0.8899925281871462
11240600,오금동,1.647585919339596
11240620,송파2동,0.6305340681368946
11240630,석촌동,0.946183879225404
11240640,삼전동,0.9526046652579844
11240650,가락본동,1.0139516688862977
11240660,가락1동,1.3921515917042802
11240670,가락2동,0.9315869221248746
11240680,문정1동,0.6120706852097909
11240710,잠실본동,1.0282070086661586
11240690,문정2동,2.240296139881806
11240800,잠실3동,1.5414550287416715
11250530,명일1동,0.6344471324600193
11250540,명일2동,0.9136139014793393
11250550,고덕1동,1.5173095958249228
11250580,암사2동,2.1726431942036912
11250650,성내1동,0.6631604638028675
11250660,성내2동,0.6246619512845984
11250670,성내3동,0.6468529002456804
11250700,둔촌1동,0.911467472972624
11250710,둔촌2동,1.5492454641021476
11250760,상일1동,1.8026319285454828
11240590,오륜동,3.0826923003943074
11010530,사직동,1.157671300936425
11020650,신당5동,0.3194643960837916
11030570,원효로2동,0.7084486938684473
11030580,효창동,0.44574811654907553
11050610,구의2동,1.386971861121762
11080610,보문동,0.552588387721046
11080620,정릉1동,0.4116542564208806
11090630,수유1동,1.6487188003374509
11090720,송천동,0.9292093279187486
11090730,삼각산동,0.6214413109988387
11090740,우이동,10.579790133982305
11090750,인수동,2.995754951037295
11100510,쌍문1동,1.174885572111189
11020730,동화동,0.3267983959590206
11030710,청파동,0.8855240846429479
11030720,원효로1동,0.5886182404014995
11030730,한강로동,2.867675949828901
11030740,한남동,3.029614722053193
11040520,왕십리2동,0.3721434556132778
11040670,성수2가1동,1.1840610355309205
11040730,옥수동,1.920741998355649
11060730,휘경2동,1.1127574442945396
11070600,상봉2동,0.676924923790068
11070610,중화1동,0.6410008766084403
11070620,중화2동,1.0161759495091476
11080820,삼선동,0.9255283512052018
11080830,동선동,0.7242577354908236
11080840,종암동,1.4034622981228613
11080850,석관동,1.703758672533664
11100650,도봉2동,1.1181792074859087
11110600,중계본동,2.1815563088529277
11170710,구로2동,1.7021148007197326
11170720,개봉1동,1.3193645867729775
11170730,오류2동,3.058811870689682
11170740,항동,1.4459024577219028
11180510,가산동,2.511019694772529
11180520,독산1동,2.060413637171888
11180530,독산2동,0.6167553251644022
11120720,불광2동,1.395058255569086
11120730,응암3동,0.7522187867171962
11130660,홍은1동,1.5975732301147443
11190660,신길4동,0.3223644262587665
11200680,대방동,1.5437630705002814
