"동별(1)",동별(2),동별(3),2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4,2025 4/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",종로구,숭인2동,7033,11439,5274,6165,10237,4973,5264,1202,301,901,1.46,1913
"합계",종로구,청운효자동,4873,11001,4973,6028,10876,4909,5967,125,64,61,2.23,2288
"합계",종로구,혜화동,9164,18901,8528,10373,15652,7493,8159,3249,1035,2214,1.71,2840
"합계",중구,소계,63817,128444,61514,66930,117805,56560,61245,10639,4954,5685,1.85,27623
"합계",중구,소공동,1236,3520,1700,1820,2186,1010,1176,1334,690,644,1.77,344
"합계",중구,회현동,2323,4775,2451,2324,4096,2102,1994,679,349,330,1.76,1407
"합계",중구,명동,1302,3389,1495,1894,2462,1006,1456,927,489,438,1.89,799
"합계",중구,필동,2798,5293,2635,2658,4301,2195,2106,992,440,552,1.54,973
"합계",중구,장충동,2893,5427,2737,2690,4529,2357,2172,898,380,518,1.57,967
"합계",중구,광희동,3933,7055,3415,3640,5684,2767,2917,1371,648,723,1.45,1271
"합계",중구,을지로동,2048,3362,1771,1591,3000,1602,1398,362,169,193,1.46,524
"합계",중구,신당5동,5410,10284,4947,5337,9939,4816,5123,345,131,214,1.84,2131
"합계",중구,황학동,7862,14012,6519,7493,13116,6136,6980,896,383,513,1.67,2407
"합계",중구,중림동,5846,12203,5955,6248,11849,5795,6054,354,160,194,2.03,2321
"합계",중구,신당동,4734,8878,4258,4620,7416,3620,3796,1462,638,824,1.57,1774
"합계",중구,다산동,6743,13481,6493,6988,13021,6284,6737,460,209,251,1.93,3223
"합계",중구,약수동,7682,15980,7343,8637,15749,7229,8520,231,114,117,2.05,4400
"합계",중구,청구동,5054,10914,5080,5834,10736,4996,5740,178,84,94,2.12,2705
"합계",중구,동화동,3953,9871,4715,5156,9721,4645,5076,150,70,80,2.46,2377
"합계",용산구,소계,102959,214984,102809,112175,201894,96065,105829,13090,6744,6346,1.96,40470
"합계",용산구,후암동,8272,16108,7707,8401,15653,7480,8173,455,227,228,1.89,3340
"합계",용산구,용산2가동,4985,9879,4832,5047,8498,4187,4311,1381,645,736,1.70,2180
"합계",용산구,남영동,5001,7496,4459,3037,6996,4233,2763,500,226,274,1.40,1705
"합계",용산구,원효로1동,9367,17755,8152,9603,17025,7764,9261,730,388,342,1.82,2276
"합계",용산구,원효로2동,6280,13523,6285,7238,13390,6226,7164,133,59,74,2.13,2622
"합계",용산구,효창동,4696,10553,4944,5609,10390,4881,5509,163,63,100,2.21,1727
"합계",용산구,용문동,5292,11168,5242,5926,11050,5184,5866,118,58,60,2.09,2436
"합계",용산구,이촌1동,9114,25395,11961,13434,24919,11703,13216,476,258,218,2.73,4767
"합계",용산구,이촌2동,3570,7783,3647,4136,7737,3630,4107,46,17,29,2.17,1930
"합계",용산구,이태원1동,3368,7343,3815,3528,5898,2906,2992,1445,909,536,1.75,1504
"합계",용산구,이태원2동,4673,9898,4717,5181,8350,3954,4396,1548,763,785,1.79,1863
"합계",용산구,서빙고동,4999,12791,6154,6637,12045,5774,6271,746,380,366,2.41,2413
"합계",용산구,보광동,3791,7547,3925,3622,6684,3326,3358,863,599,264,1.76,1724
"합계",용산구,청파동,11348,19576,8819,10757,18651,8574,10077,925,245,680,1.64,3618
"합계",용산구,한강로동,11226,22624,10745,11879,20889,9841,11048,1735,904,831,1.86,3570
