region_id,region_nm,population,area_km2,pop_density
11240530,거여1동,11819,0.5219015798986636,22646.032231392877
11240540,거여2동,23160,0.5092227971223169,45481.07455298569
11240550,마천1동,15315,0.5748085094797261,26643.655665191873
11240560,마천2동,17125,0.8899925281871462,19241.734573752492
11240570,방이1동,15031,0.6087869065403865,24690.084229009044
11240580,방이2동,26913,0.769245388528477,34986.23508355773
11240590,오륜동,17553,3.0826923003943074,5694.0486722449705
11240600,오금동,37477,1.647585919339596,22746.613430043122
11240610,송파1동,23162,0.6863943359947677,33744.45094514381
11240620,송파2동,19452,0.6305340681368946,30850.038059762373
11240630,석촌동,30682,0.946183879225404,32427.100771488414
11240640,삼전동,28796,0.9526046652579844,30228.699323240737
11240650,가락본동,24837,1.0139516688862977,24495.2503774469
11240660,가락1동,27316,1.3921515917042802,19621.426404117094
11240670,가락2동,28758,0.9315869221248746,30869.905230534285
11240680,문정1동,19797,0.6120706852097909,32344.303490395818
11240690,문정2동,28869,2.240296139881806,12886.242798919913
11240810,장지동,30855,1.27736127866481,24155.264853692657
11240710,잠실본동,27831,1.0282070086661586,27067.50660657698
11240790,잠실2동,34722,2.684789628434084,12932.856873501767
11240800,잠실3동,33772,1.5414550287416715,21909.169823506905
11240750,잠실4동,21197,0.7796005396286394,27189.5655820058
11240770,잠실6동,16531,1.5068386246932475,10970.65055879177
11240780,잠실7동,9340,0.7229321992953419,12919.607134810021
11240820,위례동,45114,2.638595847668135,17097.730234006696
11250530,명일1동,24743,0.6344471324600193,38999.30937359737
11250540,명일2동,16971,0.9136139014793393,18575.68057197933
11250550,고덕1동,23764,1.5173095958249228,15661.932189310459
11250560,고덕2동,26459,2.473374982360957,10697.528756736916
11250720,암사1동,32998,0.7349074677177043,44900.890859739266
11250580,암사2동,14613,2.1726431942036912,6725.908809594435
11250590,암사3동,16867,1.797967186667379,9381.150070521486
11250610,천호1동,25329,0.6684774407063894,37890.5830737302
11250730,천호2동,35486,1.849737093643361,19184.347938930336
11250630,천호3동,26936,0.5611167518457311,48004.26989819325
11250650,성내1동,19078,0.6631604638028675,28768.3012503459
11250660,성내2동,24903,0.6246619512845984,39866.362836391316
11250670,성내3동,21921,0.6468529002456804,33888.69400086822
11250700,둔촌1동,32883,0.911467472972624,36076.986809805385
11250710,둔촌2동,25332,1.5492454641021476,16351.18552028871
11250740,길동,48655,1.6303438666349468,29843.39745481094
11250750,강일동,34546,2.2703834568156003,15215.9318710213
11250760,상일1동,39152,1.8026319285454828,21719.353452033425
11250770,상일2동,13361,1.1155249935338964,11977.3201653451
