station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
ee2b5108-219d-4258-9c26-daadb476d054,6002903@HiroshimaArea,,3,,八本松駅方面,宮の前（八）@HiroshimaArea
bb1c7ba5-6ca9-45c8-b1fc-9667abc67683,6003004@HiroshimaArea,,3,,広島大学方面,農業技術センター@HiroshimaArea
804dae96-1916-4d25-bb32-5119193f7544,6003003@HiroshimaArea,,3,,八本松駅方面,農業技術センター@HiroshimaArea
76008369-9075-49f1-848b-76d0b00d8ef4,6003104@HiroshimaArea,,3,,広島大学方面,下原@HiroshimaArea
4ce9ae24-a290-47b1-ab15-6f573f897b44,6003103@HiroshimaArea,,3,,八本松駅方面,下原@HiroshimaArea
ee5bcff3-ea6f-4147-ae7f-be916bff63f0,6003204@HiroshimaArea,,3,,広島大学方面,千野丸@HiroshimaArea
f9249b62-2e67-4d4d-80df-6615a2345e8d,6003203@HiroshimaArea,,3,,八本松駅方面,千野丸@HiroshimaArea
896cc06e-d471-4e54-bd9f-5ad5924508e9,6003304@HiroshimaArea,,3,,広島大学方面,西側@HiroshimaArea
6ad987f0-f450-4989-ba28-0956ea98d451,6003303@HiroshimaArea,,3,,八本松駅方面,西側@HiroshimaArea
85cdf030-1c7d-4eda-a882-1476cd9b0eac,6003401@HiroshimaArea,,3,,乃美尾方面、広島国際大学方面,下見大池@HiroshimaArea
8babd247-dbfd-4c8d-ad95-e43131bc656b,6003402@HiroshimaArea,,3,,西条方面,下見大池@HiroshimaArea
d2563726-3296-4728-b6b3-119cd0ad2687,6003403@HiroshimaArea,,3,,八本松駅方面,下見大池@HiroshimaArea
de530b7c-f72a-48ea-8434-8c527b0f8cde,6003404@HiroshimaArea,,3,,広島大学方面,下見大池@HiroshimaArea
7443f643-ab25-4016-a33e-66a872b550a8,6248001@HiroshimaArea,,3,1,①西条方面，竹原方面，安芸津方面,東広島駅@HiroshimaArea
de619e4b-1447-402f-a9e5-93703ee5fc72,6248001@HiroshimaArea,,3,1,①西条方面，竹原方面，安芸津方面,東広島駅@HiroshimaArea
8f912c10-72e6-49c3-ac06-9a7f35a45add,6248002@HiroshimaArea,,3,2,②広島大学方面,東広島駅@HiroshimaArea
a4b80d08-f6b2-4ed4-b376-1216abdb1ec3,6003601@HiroshimaArea,,3,,広島大学方面,末釜@HiroshimaArea
041c2cae-9ce1-4aec-b1da-cfe9527fbd88,6003602@HiroshimaArea,,3,,東広島駅方面,末釜@HiroshimaArea
