trans_id,lang,translation
早稲木地蔵前,zh-tw,早稻木地藏前
下三永広島ガス前,ja,下三永広島ガス前
下三永広島ガス前,ja-Hrkt,しもみながひろしまがすまえ
下三永広島ガス前,en,Shimo-minaga Hiroshima Gas-mae
下三永広島ガス前,ko,시모미나가 히로시마 가스 마에
下三永広島ガス前,zh-cn,下三永广岛瓦斯前
下三永広島ガス前,zh-tw,下三永廣島瓦斯前
ゴルフ場入口,ja,ゴルフ場入口
ゴルフ場入口,ja-Hrkt,ごるふじょういりぐち
ゴルフ場入口,en,Golf-jo-iriguchi (Golf Course Entrance)
ゴルフ場入口,ko,골프 조 이리구치
ゴルフ場入口,zh-cn,高尔夫球场入口
ゴルフ場入口,zh-tw,高爾夫球場入口
ゴルフ場下,ja,ゴルフ場下
ゴルフ場下,ja-Hrkt,ごるふじょうした
ゴルフ場下,en,Golf-jo-Shita (Golf Course-Shita)
ゴルフ場下,ko,골프 조 시타
ゴルフ場下,zh-cn,高尔夫球场下
ゴルフ場下,zh-tw,高爾夫球場下
高岡,ja,高岡
高岡,ja-Hrkt,たかおか
高岡,en,Takaoka
高岡,ko,다카오카
高岡,zh-cn,高冈
高岡,zh-tw,高岡
大沢,ja,大沢
大沢,ja-Hrkt,おおさわ
大沢,en,Osawa
大沢,ko,오사와
大沢,zh-cn,大泽
大沢,zh-tw,大澤
板城,ja,板城
板城,ja-Hrkt,いたき
板城,en,Itaki
板城,ko,이타키
板城,zh-cn,板城
板城,zh-tw,板城
馬木,ja,馬木
馬木,ja-Hrkt,うまき
馬木,en,Umaki
馬木,ko,우마키
馬木,zh-cn,马木
馬木,zh-tw,馬木
樋ノ詰橋,ja,樋ノ詰橋
樋ノ詰橋,ja-Hrkt,ひのつめばし
樋ノ詰橋,en,Hinotsumebashi
樋ノ詰橋,ko,히노쓰메바시
樋ノ詰橋,zh-cn,樋乃诘桥
樋ノ詰橋,zh-tw,樋乃詰橋
小多田,ja,小多田
小多田,ja-Hrkt,おただ
小多田,en,Otada
小多田,ko,오타다
小多田,zh-cn,小多田
小多田,zh-tw,小多田
上黒瀬,ja,上黒瀬
上黒瀬,ja-Hrkt,かみくろせ
上黒瀬,en,Kami-kurose
上黒瀬,ko,가미 쿠로세
上黒瀬,zh-cn,上黑濑
上黒瀬,zh-tw,上黑瀨
南方,ja,南方
南方,ja-Hrkt,みなみかた
南方,en,Minamikata
南方,ko,미나미카타
南方,zh-cn,南方
南方,zh-tw,南方
賀茂医療センター前,ja,賀茂医療センター前
賀茂医療センター前,ja-Hrkt,かもいりょうせんたーまえ
賀茂医療センター前,en,Kamo Iryo Center-mae (Kamo Medical Center)
賀茂医療センター前,ko,가모 의료센터
賀茂医療センター前,zh-cn,贺茂医疗中心前
賀茂医療センター前,zh-tw,賀茂醫療中心前
黒瀬高校前,ja,黒瀬高校前
黒瀬高校前,ja-Hrkt,くろせこうこうまえ
黒瀬高校前,en,Kurose Koko-mae (Kurose High School)
黒瀬高校前,ko,구로세 고등학교
黒瀬高校前,zh-cn,黑濑高中前
黒瀬高校前,zh-tw,黑瀨高中前
賀茂医療センター口,ja,賀茂医療センター口
賀茂医療センター口,ja-Hrkt,かもいりょうせんたーぐち
賀茂医療センター口,en,Kamo Iryo Center-guchi (Kamo Medical Center)
賀茂医療センター口,ko,가모 의료센터
賀茂医療センター口,zh-cn,贺茂医疗中心前
賀茂医療センター口,zh-tw,賀茂醫療中心前
乃美尾,ja,乃美尾
乃美尾,ja-Hrkt,のみのお
乃美尾,en,Nominoo
乃美尾,ko,노미노오
乃美尾,zh-cn,乃美尾
乃美尾,zh-tw,乃美尾
西門前,ja,西門前
西門前,ja-Hrkt,にしもんぜん
西門前,en,Nishi-monzen
西門前,ko,니시몬젠
西門前,zh-cn,西门前
西門前,zh-tw,西門前
黒瀬中学校前,ja,黒瀬中学校前
黒瀬中学校前,ja-Hrkt,くろせちゅうがっこうまえ
黒瀬中学校前,en,Kurose Chugakko-mae (Kurose Junior High School)
黒瀬中学校前,ko,구로세 중학교
黒瀬中学校前,zh-cn,黑濑中学前
黒瀬中学校前,zh-tw,黑瀨中學前
丸山,ja,丸山
丸山,ja-Hrkt,まるやま
丸山,en,Maruyama
丸山,ko,마루야마
丸山,zh-cn,丸山
丸山,zh-tw,丸山
黒瀬支所前,ja,黒瀬支所前
黒瀬支所前,ja-Hrkt,くろせししょまえ
黒瀬支所前,en,Kurose Shisho-mae (Kurose Branch)
黒瀬支所前,ko,구로세 지소
黒瀬支所前,zh-cn,黑濑支所前
黒瀬支所前,zh-tw,黑瀨支所前
中黒瀬,ja,中黒瀬
中黒瀬,ja-Hrkt,なかくろせ
中黒瀬,en,Nakagurose
中黒瀬,ko,나카쿠로세
中黒瀬,zh-cn,中黑濑
中黒瀬,zh-tw,中黑瀨
楢原,ja,楢原
楢原,ja-Hrkt,ならはら
楢原,en,Narabara
楢原,ko,나라바라
楢原,zh-cn,楢原
楢原,zh-tw,楢原
中黒瀬小学校前,ja,中黒瀬小学校前
中黒瀬小学校前,ja-Hrkt,なかくろせしょうがっこうまえ
中黒瀬小学校前,en,Nakagurose Shogakko-mae (Nakagurose Elementary School)
中黒瀬小学校前,ko,나카쿠로세 초등학교
中黒瀬小学校前,zh-cn,中黑濑小学前
