trans_id,lang,translation
下町屋,ja,下町屋
下町屋,ja-Hrkt,しもまちや
下町屋,en,Shimo-machiya
下町屋,ko,시모마치야
下町屋,zh-cn,下町屋
下町屋,zh-tw,下町屋
三入,ja,三入
三入,ja-Hrkt,みいり
三入,en,Miiri
三入,ko,미이리
三入,zh-cn,三入
三入,zh-tw,三入
町屋記念碑,ja,町屋記念碑
町屋記念碑,ja-Hrkt,まちやきねんひ
町屋記念碑,en,Machiya Kinenhi
町屋記念碑,ko,마치야 기념비
町屋記念碑,zh-cn,町屋记念碑
町屋記念碑,zh-tw,町屋記念碑
町屋記念碑前,ja,町屋記念碑前
町屋記念碑前,ja-Hrkt,まちやきねんひ
町屋記念碑前,en,Machiya Kinenhi
町屋記念碑前,ko,마치야 기념비
町屋記念碑前,zh-cn,町屋记念碑
町屋記念碑前,zh-tw,町屋記念碑
町屋,ja,町屋
町屋,ja-Hrkt,まちや
町屋,en,Machiya
町屋,ko,마치야
町屋,zh-cn,町屋
町屋,zh-tw,町屋
上町屋,ja,上町屋
上町屋,ja-Hrkt,かみまちや
上町屋,en,Kami-machiya
上町屋,ko,가미마치야
上町屋,zh-cn,上町屋
上町屋,zh-tw,上町屋
大林二丁目,ja,大林二丁目
大林二丁目,ja-Hrkt,おおばやしにちょうめ
大林二丁目,en,Obayashi-nichome (Obayashi 2)
大林二丁目,ko,오바야시 2초메
大林二丁目,zh-cn,大林二丁目
大林二丁目,zh-tw,大林二丁目
下大林,ja,下大林
下大林,ja-Hrkt,しもおおばやし
下大林,en,Shimo-obayashi
下大林,ko,시모오바야시
下大林,zh-cn,下大林
下大林,zh-tw,下大林
洞庭,ja,洞庭
洞庭,ja-Hrkt,どうにわ
洞庭,en,Doniwa
洞庭,ko,도니와
洞庭,zh-cn,洞庭
洞庭,zh-tw,洞庭
大林,ja,大林
大林,ja-Hrkt,おおばやし
大林,en,Obayashi
大林,ko,오바야시
大林,zh-cn,大林
大林,zh-tw,大林
大杉,ja,大杉
大杉,ja-Hrkt,おおすぎ
大杉,en,Osugi
大杉,ko,오스기
大杉,zh-cn,大杉
大杉,zh-tw,大杉
下浜が谷,ja,下浜が谷
下浜が谷,ja-Hrkt,しもはまがたに
下浜が谷,en,Shimo-hamagatani
下浜が谷,ko,시모하마가타니
下浜が谷,zh-cn,下滨谷
下浜が谷,zh-tw,下濱谷
上根バイパス,ja,上根バイパス
上根バイパス,ja-Hrkt,かみねばいぱす
上根バイパス,en,Kamine Bypass
上根バイパス,ko,가미네 바이패스
上根バイパス,zh-cn,上根旁路
上根バイパス,zh-tw,上根旁路
吉田,ja,吉田
吉田,ja-Hrkt,よしだ
吉田,en,Yoshida
吉田,ko,요시다
吉田,zh-cn,吉田
吉田,zh-tw,吉田
吉田２丁目,ja,吉田２丁目
吉田２丁目,ja-Hrkt,よしだにちようめ
吉田２丁目,en,Yoshida-nichome (Yoshida 2)
吉田２丁目,ko,요시다 2초메
吉田２丁目,zh-cn,吉田2丁目
吉田２丁目,zh-tw,吉田2丁目
吉田税務署前,ja,吉田税務署前
吉田税務署前,ja-Hrkt,よしだぜいむしよまえ
吉田税務署前,en,Yoshida Zeimusho-mae (Yoshida Tax Office)
吉田税務署前,ko,요시다 세무서
吉田税務署前,zh-cn,吉田税务署前
吉田税務署前,zh-tw,吉田稅務署前
青迫,ja,青迫
青迫,ja-Hrkt,あおさこ
青迫,en,Aosako
青迫,ko,아오사코
青迫,zh-cn,青迫
青迫,zh-tw,青迫
吉田病院,ja,吉田病院
吉田病院,ja-Hrkt,よしだびょういん
吉田病院,en,Yoshida Byoin (Yoshida Hospital)
吉田病院,ko,요시다 병원
吉田病院,zh-cn,吉田医院
吉田病院,zh-tw,吉田醫院
安芸高田市役所,ja,安芸高田市役所
安芸高田市役所,ja-Hrkt,あきたかたしやくしよ
安芸高田市役所,en,Akitakata Shiyakusho
安芸高田市役所,ko,아키 타카타 시청
安芸高田市役所,zh-cn,安艺高田市政府
安芸高田市役所,zh-tw,安藝高田市政府
安芸高田市役所前,ja,安芸高田市役所前
安芸高田市役所前,ja-Hrkt,あきたかたしやくしよ
安芸高田市役所前,en,Akitakata Shiyakusho
安芸高田市役所前,ko,아키 타카타 시청
安芸高田市役所前,zh-cn,安艺高田市政府
安芸高田市役所前,zh-tw,安藝高田市政府
新町下,ja,新町下
新町下,ja-Hrkt,しんまちしも
新町下,en,Shinmachi-shimo
新町下,ko,신마치 시모
新町下,zh-cn,新町下
新町下,zh-tw,新町下
安芸高田警察署,ja,安芸高田警察署
安芸高田警察署,ja-Hrkt,あきたかたけいさつしょ
安芸高田警察署,en,Akitakata Keisatsusho-mae (Akitakata Police Station)
安芸高田警察署,ko,아키 타카타 경찰서
安芸高田警察署,zh-cn,安艺高田警察署
安芸高田警察署,zh-tw,安藝高田警察署
吉田出張所,ja,吉田出張所
吉田出張所,ja-Hrkt,よしだしゅっちょうじょ
吉田出張所,en,Yoshida Shutchosho
吉田出張所,ko,요시다 출장소
吉田出張所,zh-cn,吉田办事处
吉田出張所,zh-tw,吉田辦事處
広電吉田出張所,ja,広電吉田出張所
広電吉田出張所,ja-Hrkt,よしだしゅっちょうじょ
広電吉田出張所,en,Yoshida Shutchosho
広電吉田出張所,ko,요시다 출장소
広電吉田出張所,zh-cn,吉田办事处
広電吉田出張所,zh-tw,吉田辦事處
大浜,ja,大浜
大浜,ja-Hrkt,おおはま
大浜,en,Ohama
大浜,ko,오하마
大浜,zh-cn,大滨
大浜,zh-tw,大濱
内堀,ja,内堀
内堀,ja-Hrkt,うちぼり
内堀,en,Uchibori
内堀,ko,우치보리
内堀,zh-cn,内堀
内堀,zh-tw,內堀
大江橋,ja,大江橋
大江橋,ja-Hrkt,おおえばし
大江橋,en,Oebashi
大江橋,ko,오에바시
大江橋,zh-cn,大江桥
大江橋,zh-tw,大江橋
四軒屋,ja,四軒屋
四軒屋,ja-Hrkt,しけんや
四軒屋,en,Shiken-ya
四軒屋,ko,시켄야
四軒屋,zh-cn,四轩屋
四軒屋,zh-tw,四軒屋
高屋,ja,高屋
高屋,ja-Hrkt,たかや
高屋,en,Takaya
高屋,ko,다카야
高屋,zh-cn,高屋
高屋,zh-tw,高屋
高屋大橋,ja,高屋大橋
高屋大橋,ja-Hrkt,たかやおおはし
高屋大橋,en,Takaya-ohashi
高屋大橋,ko,다카야 오하시
高屋大橋,zh-cn,高屋大桥
高屋大橋,zh-tw,高屋大橋
甲立駅口,ja,甲立駅口
甲立駅口,ja-Hrkt,こうたちえきぐち
甲立駅口,en,Kotachi Sta. Entrance
甲立駅口,ko,고타치 역
甲立駅口,zh-cn,甲立站口
甲立駅口,zh-tw,甲立站口
甲田小学校,ja,甲田小学校
甲田小学校,ja-Hrkt,こうだしようがつこう
男山神社前,ja,男山神社前
男山神社前,ja-Hrkt,おとこやまじんじやまえ
男山神社前,en,Otokoyama Jinja-mae (Otokoyama Jinja Shrine)
男山神社前,ko,오토코야마진자 신사
男山神社前,zh-cn,男山神社前
男山神社前,zh-tw,男山神社前
道木,ja,道木
道木,ja-Hrkt,どうぎ
道木,en,Dogi
道木,ko,도기
道木,zh-cn,道木
道木,zh-tw,道木
下甲立,ja,下甲立
下甲立,ja-Hrkt,しもこうたち
下甲立,en,Shimo-kotachi
下甲立,ko,시모코타치
下甲立,zh-cn,下甲立
下甲立,zh-tw,下甲立
上深瀬,ja,上深瀬
上深瀬,ja-Hrkt,かみふかせ
上深瀬,en,Kami-fukase
上深瀬,ko,가미후카세
上深瀬,zh-cn,上深濑
上深瀬,zh-tw,上深瀨
深瀬,ja,深瀬
深瀬,ja-Hrkt,ふかせ
深瀬,en,Fukase
深瀬,ko,후카세
深瀬,zh-cn,深濑
深瀬,zh-tw,深瀨
下深瀬,ja,下深瀬
下深瀬,ja-Hrkt,しもふかせ
下深瀬,en,Shimo-fukase
下深瀬,ko,시모후카세
下深瀬,zh-cn,下深濑
下深瀬,zh-tw,下深瀨
川地中学入口,ja,川地中学入口
川地中学入口,ja-Hrkt,かわじちゆうがくいりぐち
川地中学入口,en,Kawaji Chugaku-iriguchi (Kawaji Junior High School)
川地中学入口,ko,가와지 중학교
川地中学入口,zh-cn,川地中学入口
川地中学入口,zh-tw,川地中學入口
大鳥公園前,ja,大鳥公園前
大鳥公園前,ja-Hrkt,おおとりこうえんまえ
大鳥公園前,en,Otori Koen-mae (Otori Park)
大鳥公園前,ko,오토리 공원
大鳥公園前,zh-cn,大鸟公园前
大鳥公園前,zh-tw,大鳥公園前
秋町,ja,秋町
秋町,ja-Hrkt,あきまち
秋町,en,Akimachi
秋町,ko,아키마치
秋町,zh-cn,秋町
秋町,zh-tw,秋町
志和地,ja,志和地
志和地,ja-Hrkt,しわち
志和地,en,Shiwachi
志和地,ko,시와치
志和地,zh-cn,志和地
志和地,zh-tw,誌和地
青河,ja,青河
青河,ja-Hrkt,あおが
青河,en,Aoga
青河,ko,아오가
青河,zh-cn,青河
青河,zh-tw,青河
青河橋,ja,青河橋
青河橋,ja-Hrkt,あおがばし
青河橋,en,Aogabashi
青河橋,ko,아오가바시
青河橋,zh-cn,青河桥
青河橋,zh-tw,青河橋
船所,ja,船所
船所,ja-Hrkt,ふねぞ
船所,en,Funezo
船所,ko,후네조
船所,zh-cn,船所
船所,zh-tw,船所
大村,ja,大村
大村,ja-Hrkt,おおむら
大村,en,Omura
大村,ko,오무라
大村,zh-cn,大村
大村,zh-tw,大村
粟屋,ja,粟屋
粟屋,ja-Hrkt,あわや
粟屋,en,Awaya
粟屋,ko,아와야
粟屋,zh-cn,粟屋
粟屋,zh-tw,粟屋
三次ロッジ口,ja,三次ロッジ口
三次ロッジ口,ja-Hrkt,みよしろつぢぐち
三次ロッジ口,en,Miyoshi Lodge-guchi
三次ロッジ口,ko,미요시 로지 구치
三次ロッジ口,zh-cn,三次山中休息所口
三次ロッジ口,zh-tw,三次山中休息所口
胡町,ja,胡町
胡町,ja-Hrkt,えびずまち
胡町,en,Ebisumachi
胡町,ko,에비스마치
胡町,zh-cn,胡町
胡町,zh-tw,胡町
西町,ja,西町
西町,ja-Hrkt,にしまち
西町,en,Nishimachi
西町,ko,니시마치
西町,zh-cn,西町
西町,zh-tw,西町
三次もののけミュージアム,ja,三次もののけミュージアム
三次もののけミュージアム,ja-Hrkt,みよしもののけみゅーじあむ
三次もののけミュージアム,en,Miyoshi Mononoke Museum
三次もののけミュージアム,ko,미요시모노노케뮤지엄
三次もののけミュージアム,zh-cn,三次鬼怪博物館
三次もののけミュージアム,zh-tw,三次鬼怪博物馆
上原西,ja,上原西
上原西,ja-Hrkt,かんばらにし
上原西,en,Kambara-nishi
上原西,ko,간바라 니시
上原西,zh-cn,上原西
上原西,zh-tw,上原西
岡竹口,ja,岡竹口
岡竹口,ja-Hrkt,おかたけぐち
岡竹口,en,Okatake-guchi
岡竹口,ko,오카타케 구치
岡竹口,zh-cn,冈竹口
岡竹口,zh-tw,岡竹口
南畑敷町,ja,南畑敷町
南畑敷町,ja-Hrkt,みなみはたじきちよう
南畑敷町,en,Minami-hatajikicho
南畑敷町,ko,미나미하타지키초
南畑敷町,zh-cn,南畑敷町
南畑敷町,zh-tw,南畑敷町
南大下,ja,南大下
南大下,ja-Hrkt,みなみおおしも
南大下,en,Minami-oshimo
南大下,ko,미나미오시모
南大下,zh-cn,南大下
南大下,zh-tw,南大下
ＲＣＣ中継所前,ja,ＲＣＣ中継所前
ＲＣＣ中継所前,ja-Hrkt,あーるしーしーちゆうけいしよま
ＲＣＣ中継所前,en,RCC Chukeisho-mae
ＲＣＣ中継所前,ko,RCC 추케쇼 마에
ＲＣＣ中継所前,zh-cn,RCC中继站前
ＲＣＣ中継所前,zh-tw,RCC中繼站前
水明園前,ja,水明園前
水明園前,ja-Hrkt,すいめいえんまえ
水明園前,en,Suimeien-mae
水明園前,ko,스이메이엔 마에
水明園前,zh-cn,水明园前
水明園前,zh-tw,水明園前
麻原,ja,麻原
麻原,ja-Hrkt,あさはら
麻原,en,Asahara
麻原,ko,아사하라
麻原,zh-cn,麻原
麻原,zh-tw,麻原
畠敷,ja,畠敷
畠敷,ja-Hrkt,はたじき
畠敷,en,Hatajiki
畠敷,ko,하타지키
畠敷,zh-cn,畠敷
畠敷,zh-tw,畠敷
塩迫,ja,塩迫
塩迫,ja-Hrkt,しおさこ
塩迫,en,Shiosako
塩迫,ko,시오사코
塩迫,zh-cn,盐迫
塩迫,zh-tw,鹽迫
四十貫,ja,四十貫
四十貫,ja-Hrkt,しじつかん
四十貫,en,Shijikkan
四十貫,ko,시지쓰칸
四十貫,zh-cn,四十贯
四十貫,zh-tw,四十貫
上四十貫,ja,上四十貫
上四十貫,ja-Hrkt,かみしじつかん
上四十貫,en,Kami-shijikkan
上四十貫,ko,가미시지쓰칸
上四十貫,zh-cn,上四十贯
上四十貫,zh-tw,上四十貫
下和知,ja,下和知
下和知,ja-Hrkt,しもわち
下和知,en,Shimo-wachi
下和知,ko,시모와치
下和知,zh-cn,下和知
下和知,zh-tw,下和知
和知駅口,ja,和知駅口
和知駅口,ja-Hrkt,わちえきぐち
和知駅口,en,Wachi Sta.
和知駅口,ko,와치 역
和知駅口,zh-cn,和知站口
和知駅口,zh-tw,和知站口
尾引坂,ja,尾引坂
尾引坂,ja-Hrkt,おびきざか
尾引坂,en,Obikizaka
尾引坂,ko,오비키자카
尾引坂,zh-cn,尾引坂
尾引坂,zh-tw,尾引阪
尾引,ja,尾引
尾引,ja-Hrkt,おびき
尾引,en,Obiki
尾引,ko,오비키
尾引,zh-cn,尾引
尾引,zh-tw,尾引
水越口,ja,水越口
水越口,ja-Hrkt,みずこしぐち
水越口,en,Mizukoshi-guchi
水越口,ko,미즈코시 구치
水越口,zh-cn,水越口
水越口,zh-tw,水越口
山内学校前,ja,山内学校前
山内学校前,ja-Hrkt,やまのうちがつこうまえ
山内学校前,en,Yamanouchi Gakko-mae (Yamanouchi School)
山内学校前,ko,야마노우치 학교
山内学校前,zh-cn,山内学校前
山内学校前,zh-tw,山內學校前
山内駅口,ja,山内駅口
山内駅口,ja-Hrkt,やまのうちえきぐち
山内駅口,en,Yamanouchi Sta.
山内駅口,ko,야마노우치 역
山内駅口,zh-cn,山内站口
山内駅口,zh-tw,山內站口
長橋,ja,長橋
長橋,ja-Hrkt,ながばし
長橋,en,Nagabashi
長橋,ko,나가바시
長橋,zh-cn,长桥
長橋,zh-tw,長橋
本郷口,ja,本郷口
本郷口,ja-Hrkt,ほんごうぐち
本郷口,en,Hongo-guchi
本郷口,ko,혼고 구치
本郷口,zh-cn,本乡口
本郷口,zh-tw,本鄉口
七塚原口,ja,七塚原口
七塚原口,ja-Hrkt,ななつかはらぐち
七塚原口,en,Nanatsukahara-guchi
七塚原口,ko,나나쓰카하라 구치
七塚原口,zh-cn,七塚原口
七塚原口,zh-tw,七塚原口
熊野口,ja,熊野口
熊野口,ja-Hrkt,くまのぐち
熊野口,en,Kumano-guchi
熊野口,ko,구마노 구치
熊野口,zh-cn,熊野口
熊野口,zh-tw,熊野口
上原学校前,ja,上原学校前
上原学校前,ja-Hrkt,かみはらがつこうまえ
上原学校前,en,Kamihara Gakko-mae (Kamihara School)
上原学校前,ko,가미하라 갓코 마에
上原学校前,zh-cn,上原学校前
上原学校前,zh-tw,上原學校前
三日市,ja,三日市
三日市,ja-Hrkt,みつかいち
三日市,en,Mikkaichi
三日市,ko,미쓰카이치
三日市,zh-cn,三日市
三日市,zh-tw,三日市
格致高校入口,ja,格致高校入口
格致高校入口,ja-Hrkt,かくちこうこういりぐち
格致高校入口,en,Kakuchi Koko-iriguchi (Kakuchi High School)
格致高校入口,ko,가쿠치 고등학교
格致高校入口,zh-cn,格致高中入口
格致高校入口,zh-tw,格致高中入口
ジョイフル,ja,ジョイフル
ジョイフル,ja-Hrkt,じょいふる
ジョイフル,en,Joyful
ジョイフル,ko,조이풀
ジョイフル,zh-cn,Joyfull
ジョイフル,zh-tw,Joyfull
日赤前,ja,日赤前
日赤前,ja-Hrkt,にっせきまえ
日赤前,en,Shobara Nisseki Byoin
日赤前,ko,쇼바라 닛세키 마병원
日赤前,zh-cn,庄原日赤病院
日赤前,zh-tw,莊原日赤病院
みどり信金本店前,ja,みどり信金本店前
みどり信金本店前,ja-Hrkt,みどりしんきんほんてんまえ
みどり信金本店前,en,"The Hiroshima Midori Shinkin Bank,Head Office"
みどり信金本店前,ko,미도리 신킨 본점 마에
みどり信金本店前,zh-cn,绿信用金库前
みどり信金本店前,zh-tw,綠信用金庫前
庄原中央,ja,庄原中央
庄原中央,ja-Hrkt,しようばらちゆうおう
庄原中央,en,Shobara-chuo
庄原中央,ko,쇼바라 추오
庄原中央,zh-cn,庄原中央
庄原中央,zh-tw,莊原中央
庄原郵便局前,ja,庄原郵便局前
庄原郵便局前,ja-Hrkt,しょうばらゆうびんきよく
庄原郵便局前,en,Shobara Yubinkyoku-mae (Shobara Post Office)
庄原郵便局前,ko,쇼바라 우체국
庄原郵便局前,zh-cn,庄原邮局前
庄原郵便局前,zh-tw,莊原郵局前
備北交通庄原営業所,ja,備北交通庄原営業所
備北交通庄原営業所,ja-Hrkt,びほくしようばらえいぎようしよ
備北交通庄原営業所,en,Bihoku Kotsu Shobara Eigyosho
備北交通庄原営業所,ko,비호쿠 코쓰 쇼바라 영업소
備北交通庄原営業所,zh-cn,备北交通庄原营业所
備北交通庄原営業所,zh-tw,備北交通莊原營業所
柳原口,ja,柳原口
柳原口,ja-Hrkt,やなばらぐち
柳原口,en,Yanabara-guchi
柳原口,ko,야나바라 구치
柳原口,zh-cn,柳原口
柳原口,zh-tw,柳原口
新築町,ja,新築町
新築町,ja-Hrkt,しんちくちよう
新築町,en,Shinchikucho
新築町,ko,신치쿠초
新築町,zh-cn,新筑町
新築町,zh-tw,新築町
丸屋橋,ja,丸屋橋
丸屋橋,ja-Hrkt,まるやばし
丸屋橋,en,Maruyabashi
丸屋橋,ko,마루야바시
丸屋橋,zh-cn,丸屋桥
丸屋橋,zh-tw,丸屋橋
明賀橋,ja,明賀橋
明賀橋,ja-Hrkt,みようがばし
明賀橋,en,Myogabashi
明賀橋,ko,묘가바시
明賀橋,zh-cn,明贺桥
明賀橋,zh-tw,明賀橋
夜燈,ja,夜燈
夜燈,ja-Hrkt,やとう
夜燈,en,Yato
夜燈,ko,야토
夜燈,zh-cn,夜灯
夜燈,zh-tw,夜燈
郷,ja,郷
