trans_id,lang,translation,category,station_sid,course_sid
巴橋,ko,도모에바시,stop_name,6856aa26-a2f0-4a44-b4ab-3bdc52198107,
巴橋,zh-cn,巴桥,stop_name,6856aa26-a2f0-4a44-b4ab-3bdc52198107,
巴橋,zh-tw,巴橋,stop_name,6856aa26-a2f0-4a44-b4ab-3bdc52198107,
巴橋西詰,ja,巴橋西詰,stop_name,8abe59d4-c953-4901-9195-3c8a87314daf,
巴橋西詰,ja-Hrkt,ともえばしにしづめ,stop_name,8abe59d4-c953-4901-9195-3c8a87314daf,
巴橋西詰,en,Tomoebashi-nishizume (Tomoe Bridge-nishizume),stop_name,8abe59d4-c953-4901-9195-3c8a87314daf,
巴橋西詰,ko,도모에바시 다리,stop_name,8abe59d4-c953-4901-9195-3c8a87314daf,
巴橋西詰,zh-cn,巴桥西诘,stop_name,8abe59d4-c953-4901-9195-3c8a87314daf,
巴橋西詰,zh-tw,巴橋西詰,stop_name,8abe59d4-c953-4901-9195-3c8a87314daf,
稲荷町,ja,稲荷町,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
稲荷町,ja-Hrkt,いなりまち,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
稲荷町,en,Inarimachi,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
稲荷町,ko,이나리마치,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
稲荷町,zh-cn,稻荷町,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
稲荷町,zh-tw,稻荷町,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次稲荷町,ja,三次稲荷町,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次稲荷町,ja-Hrkt,いなりまち,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次稲荷町,en,Inarimachi,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次稲荷町,ko,이나리마치,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次稲荷町,zh-cn,稻荷町,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次稲荷町,zh-tw,稻荷町,stop_name,f49c42e1-e9ac-4d59-bff7-8cd4d86abf37,
三次小学校前,ja,三次小学校前,stop_name,c44938ff-a2e1-4404-8756-d91a26383cdf,
三次小学校前,ja-Hrkt,みよししょうがっこうまえ,stop_name,c44938ff-a2e1-4404-8756-d91a26383cdf,
三次小学校前,en,Miyoshi Shogakko-mae (Miyoshi Elementary School),stop_name,c44938ff-a2e1-4404-8756-d91a26383cdf,
三次小学校前,ko,미요시 초등학교,stop_name,c44938ff-a2e1-4404-8756-d91a26383cdf,
三次小学校前,zh-cn,三次小学前,stop_name,c44938ff-a2e1-4404-8756-d91a26383cdf,
三次小学校前,zh-tw,三次小學前,stop_name,c44938ff-a2e1-4404-8756-d91a26383cdf,
Ａシティー中央,ja,Ａシティー中央,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティー中央,ja-Hrkt,Aしてぃｰちゅうおう,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティー中央,en,A City-chuo,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティー中央,ko,A 시티 추오,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティー中央,zh-cn,A.CITY中央,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティー中央,zh-tw,A.CITY中央,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティ中央,ja,Ａシティ中央,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティ中央,ja-Hrkt,Aしてぃｰちゅうおう,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティ中央,en,A City-chuo,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティ中央,ko,A 시티 추오,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティ中央,zh-cn,A.CITY中央,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
Ａシティ中央,zh-tw,A.CITY中央,stop_name,3360c5c6-60dc-46c6-a5a9-0e9328d7c775,
沼田料金所前,ja,沼田料金所前,stop_name,17a48ed6-eea0-4169-8314-04f97c6e9474,
沼田料金所前,ja-Hrkt,ぬまたりょうきんじょまえ,stop_name,17a48ed6-eea0-4169-8314-04f97c6e9474,
沼田料金所前,en,Numata Ryokinjo-mae,stop_name,17a48ed6-eea0-4169-8314-04f97c6e9474,
沼田料金所前,ko,누마타 료킨조 마에,stop_name,17a48ed6-eea0-4169-8314-04f97c6e9474,
沼田料金所前,zh-cn,沼田收费站前,stop_name,17a48ed6-eea0-4169-8314-04f97c6e9474,
沼田料金所前,zh-tw,沼田收費站前,stop_name,17a48ed6-eea0-4169-8314-04f97c6e9474,
新白島駅,ja,新白島駅,stop_name,de381af2-ff69-4c9b-bf1f-50fc4280f02a,
新白島駅,ja-Hrkt,しんはくしまえき,stop_name,de381af2-ff69-4c9b-bf1f-50fc4280f02a,
新白島駅,en,Shin-hakushima Sta.,stop_name,de381af2-ff69-4c9b-bf1f-50fc4280f02a,
新白島駅,ko,신하쿠시마 역,stop_name,de381af2-ff69-4c9b-bf1f-50fc4280f02a,
新白島駅,zh-cn,新白岛站,stop_name,de381af2-ff69-4c9b-bf1f-50fc4280f02a,
新白島駅,zh-tw,新白島站,stop_name,de381af2-ff69-4c9b-bf1f-50fc4280f02a,
合同庁舎前,ja,合同庁舎前,stop_name,4c8ba1f2-fae0-4575-9783-e86220999095,
合同庁舎前,ja-Hrkt,ごうどうちょうしゃまえ,stop_name,4c8ba1f2-fae0-4575-9783-e86220999095,
合同庁舎前,en,Godochosha-mae (Joint Government Building),stop_name,4c8ba1f2-fae0-4575-9783-e86220999095,
合同庁舎前,ko,합동청사,stop_name,4c8ba1f2-fae0-4575-9783-e86220999095,
合同庁舎前,zh-cn,合同政府办公楼前,stop_name,4c8ba1f2-fae0-4575-9783-e86220999095,
合同庁舎前,zh-tw,合同政府辦公樓前,stop_name,4c8ba1f2-fae0-4575-9783-e86220999095,
和知,ja,和知,stop_name,0c963e75-52b8-41cf-842e-b61c24ed00b7,
和知,ja-Hrkt,わちばすすとつぷ,stop_name,0c963e75-52b8-41cf-842e-b61c24ed00b7,
和知,en,Wachi,stop_name,0c963e75-52b8-41cf-842e-b61c24ed00b7,
和知,ko,와치,stop_name,0c963e75-52b8-41cf-842e-b61c24ed00b7,
