町丁目・大字別人口及び世帯,,,,,,,,,,,,,
令和8年7月末現在,,,,,,,,,,,,,
,,,,,,,,,,,,,
年,月,区名,住所名,秘匿区分,人口（総数計）:人,人口（総数男）:人,人口（総数女）:人,人口（日本人計）:人,人口（日本人男）:人,人口（日本人女）:人,人口（外国人）:人,世帯（総数）:世帯,世帯（日本人世帯）:世帯
2026,7,東区,福田一丁目,,"1,098",538,560,"1,073",523,550,25,519,502
2026,7,東区,福田二丁目,,465,238,227,432,216,216,33,229,196
2026,7,東区,福田三丁目,,864,398,466,847,389,458,17,427,411
2026,7,東区,福田四丁目,,644,321,323,639,318,321,5,277,272
2026,7,東区,福田五丁目,,862,441,421,817,401,416,45,434,393
2026,7,東区,福田六丁目,,286,142,144,283,140,143,3,132,129
2026,7,東区,福田七丁目,,872,442,430,846,420,426,26,441,418
2026,7,東区,福田八丁目,,"1,443",717,726,"1,406",688,718,37,734,699
2026,7,東区,温品町,,351,174,177,343,168,175,8,155,151
2026,7,東区,馬木町,,12,8,4,12,8,4,0,6,6
2026,7,東区,福田町,,33,15,18,33,15,18,0,17,17
2026,7,南区,仁保町,*3-1,x,x,x,x,x,x,x,x,x
2026,7,南区,松原町,,"1,356",662,694,"1,319",640,679,37,697,671
2026,7,南区,大須賀町,,"1,710",746,964,"1,649",714,935,61,978,939
2026,7,南区,猿猴橋町,,146,79,67,133,76,57,13,121,108
2026,7,南区,荒神町,,143,55,88,140,54,86,3,99,96
2026,7,南区,京橋町,,646,331,315,621,320,301,25,459,438
2026,7,南区,的場町一丁目,,482,216,266,474,212,262,8,285,280
2026,7,南区,的場町二丁目,,534,287,247,526,284,242,8,357,349
2026,7,南区,松川町,,668,295,373,632,277,355,36,402,372
2026,7,南区,金屋町,,679,334,345,667,325,342,12,483,471
2026,7,南区,比治山町,,"1,136",561,575,"1,089",537,552,47,768,727
2026,7,南区,稲荷町,,494,226,268,486,223,263,8,289,282
2026,7,南区,比治山本町,,"2,241","1,045","1,196","2,198","1,028","1,170",43,"1,044","1,007"
2026,7,南区,青崎一丁目,,714,345,369,707,343,364,7,383,376
2026,7,南区,青崎二丁目,,"1,841",908,933,"1,818",901,917,23,939,921
2026,7,南区,東青崎町,,601,283,318,592,279,313,9,319,314
2026,7,南区,堀越一丁目,,445,234,211,445,234,211,0,254,254
2026,7,南区,堀越二丁目,,"1,123",523,600,"1,108",517,591,15,497,485
2026,7,南区,堀越三丁目,,809,399,410,798,392,406,11,412,403
2026,7,南区,向洋本町,,754,378,376,734,364,370,20,391,374
2026,7,南区,向洋中町,,325,154,171,324,154,170,1,185,184
2026,7,南区,向洋大原町,,"1,146",684,462,"1,142",684,458,4,648,645
2026,7,南区,小磯町,,194,194,0,193,193,0,1,194,193
2026,7,南区,西荒神町,,288,139,149,171,81,90,117,181,99
2026,7,南区,東荒神町,,241,121,120,231,112,119,10,172,162
2026,7,南区,西蟹屋一丁目,,131,89,42,127,86,41,4,110,106
2026,7,南区,西蟹屋二丁目,,308,144,164,307,144,163,1,190,189
2026,7,南区,西蟹屋三丁目,,"1,035",486,549,"1,006",472,534,29,610,587
2026,7,南区,西蟹屋四丁目,,739,396,343,706,373,333,33,468,442
2026,7,南区,南蟹屋一丁目,,"1,367",635,732,"1,309",614,695,58,798,749
2026,7,南区,南蟹屋二丁目,,911,452,459,903,451,452,8,352,348
2026,7,南区,大州一丁目,,888,437,451,870,428,442,18,473,461
2026,7,南区,大州二丁目,,"1,103",642,461,"1,083",633,450,20,729,711
2026,7,南区,大州三丁目,,572,327,245,562,322,240,10,330,320
2026,7,南区,大州四丁目,,684,373,311,666,361,305,18,336,324
2026,7,南区,大州五丁目,,"1,373",790,583,"1,364",784,580,9,761,755
2026,7,南区,東駅町,,4,4,0,4,4,0,0,4,4
2026,7,南区,向洋新町一丁目,,"1,341",678,663,"1,338",678,660,3,599,596
2026,7,南区,向洋新町二丁目,,"1,814",906,908,"1,800",899,901,14,853,842
2026,7,南区,向洋新町三丁目,,"2,039",989,"1,050","2,024",984,"1,040",15,871,859
2026,7,南区,向洋新町四丁目,,406,208,198,405,207,198,1,163,162
2026,7,南区,宇品町,,53,48,5,10,5,5,43,52,9
2026,7,南区,元宇品町,,"1,429",681,748,"1,393",662,731,36,744,708
2026,7,南区,似島町,@3-1,591,287,304,558,258,300,33,408,378
2026,7,南区,皆実町一丁目,,"3,039","1,461","1,578","2,999","1,443","1,556",40,"1,371","1,345"
2026,7,南区,皆実町二丁目,,96,52,44,94,51,43,2,53,52
2026,7,南区,皆実町三丁目,,"1,209",574,635,"1,201",571,630,8,615,607
2026,7,南区,皆実町四丁目,,"1,578",780,798,"1,570",775,795,8,801,794
2026,7,南区,皆実町五丁目,,"1,485",698,787,"1,476",695,781,9,773,764
2026,7,南区,皆実町六丁目,,"1,576",763,813,"1,551",746,805,25,942,918
2026,7,南区,上東雲町,,"1,762",865,897,"1,718",843,875,44,978,941
