region_id,region_nm,admin_area_m2,uncovered_area_m2,uncovered_ratio,population,pop_density,bus_stop_cnt,subway_cnt,pop_norm,unc_norm,bus_sub_inv_norm,vulnerability_score,rank
11060710,회기동,766332.5425664168,201726.34073100385,0.2632360359582675,13543.0,17672.484525640837,10,0.0,0.3561663185980774,0.3032044731059353,0.9142857142857144,0.5193066469766099,87
11180530,독산2동,616755.3251644023,19168.870391129203,0.0310801862732511,18494.0,29985.95917282148,9,0.0,0.6075933166006331,0.0357992456037038,0.923809523809524,0.5171766883845741,88
11050610,구의2동,1386971.861121762,465159.16665273183,0.3353775081467897,25502.0,18386.81859008615,21,0.0,0.3707521990697258,0.3862995439779003,0.8095238095238095,0.5169699323485738,89
11250530,명일1동,634447.1324600193,0.0,0.0,24743.0,38999.30937359737,24,1.0,0.7916355668882635,0.0,0.7714285714285715,0.5158111656445556,90
11240610,송파1동,686394.3359947677,0.0,0.0,23162.0,33744.45094514381,14,0.0,0.684337398219275,0.0,0.8761904761904762,0.5149741985552179,91
11110690,상계5동,906113.294237248,246881.58864680937,0.2724621636355422,22309.0,24620.541539211565,27,1.0,0.4980376560497427,0.3138314496557557,0.7428571428571429,0.5130596620256717,92
11240510,풍납1동,1074461.3946915208,385106.1362845462,0.3584178437561366,11193.0,10417.312390468456,8,0.0,0.2080240433909855,0.4128382083867637,0.9333333333333332,0.5128845430866573,93
11010570,무악동,369245.4830941786,54557.02847643696,0.1477527308371212,7714.0,20891.25081601199,4,1.0,0.4218898262876912,0.1701867631471807,0.961904761904762,0.5128138459420792,94
11120590,응암1동,1109043.7985435503,164999.76521583955,0.1487765996550588,32352.0,29171.075157253657,23,0.0,0.5909543217088543,0.1713660910623055,0.7904761904761904,0.5124228790716256,95
11130700,남가좌2동,783220.5094301556,0.0,0.0,30148.0,38492.35258399279,25,0.0,0.7812840919894642,0.0,0.7714285714285715,0.5123951789279518,96
11100520,쌍문2동,540781.779986654,5215.916842949746,0.0096451416005148,17583.0,32514.039212700427,14,0.0,0.6592138049964475,0.0111096114419527,0.8761904761904762,0.5103495845675292,97
11250670,성내3동,646852.9002456805,0.0,0.0,21921.0,33888.69400086822,15,1.0,0.6872826756103164,0.0,0.8571428571428572,0.5096604258085473,98
11160761,방화3동,2557045.31522031,1217290.105952247,0.4760533959670432,21501.0,8408.533033036028,18,1.0,0.1670070779965443,0.5483349518200538,0.8285714285714285,0.5094914412680488,99
11020710,약수동,485866.2101096632,0.0,0.0,15980.0,32889.71257415331,12,2.0,0.666884623202197,0.0,0.8761904761904762,0.5092147827995821,100
11220570,반포1동,991618.2690024074,26181.158504196275,0.0264024567947252,33770.0,34055.44356698214,19,1.0,0.6906875100723624,0.0304112731830379,0.819047619047619,0.5082483127599964,101
11230770,압구정동,2343277.7495913915,1037415.5212302818,0.4427198275625588,25668.0,10953.887137141915,20,1.0,0.218980282927401,0.5099401818637677,0.8095238095238095,0.5076866105239428,102
11010690,창신3동,216671.88605899923,0.0,0.0,6354.0,29325.447410698314,6,1.0,0.5941064256738685,0.0,0.9428571428571428,0.5071979776152338,103
11110720,상계8동,665840.2199539224,0.0,0.0,21305.0,31997.16592889846,12,1.0,0.6486598466851103,0.0,0.8857142857142857,0.5063434636918007,104
11080680,길음2동,587556.5645287607,0.0,0.0,21499.0,36590.51961617158,22,1.0,0.7424508489364108,0.0,0.7904761904761904,0.5058659230061584,105
11170700,가리봉동,410699.0234027877,0.0,0.0,12521.0,30487.045954624034,10,0.0,0.6178249326876669,0.0,0.9142857142857144,0.5055965135012158,106
11130740,북아현동,458651.8872673516,0.0,0.0,15471.0,33731.4648200321,16,1.0,0.6840722364719959,0.0,0.8476190476190476,0.5054581237500444,107
11140630,신수동,797289.7320185351,126496.51529340056,0.1586581517526175,22283.0,27948.434684572072,24,0.0,0.565989408677329,0.182748008383398,0.780952380952381,0.5047976333443257,108
11240620,송파2동,630534.0681368946,0.0,0.0,19452.0,30850.038059762373,12,0.0,0.6252368142165299,0.0,0.8952380952380953,0.5017567201200264,109
11130650,홍제2동,699457.7647965035,151015.8490801643,0.2159041713177636,12038.0,17210.474464462157,9,0.0,0.3467326042276394,0.2486859759434852,0.923809523809524,0.501345274313614,110
11210710,난향동,820791.9534738227,209027.57498209897,0.2546657214382224,14564.0,17743.83866503692,15,0.0,0.3576232881032302,0.2933328850881976,0.8666666666666667,0.5008155371531713,111
11060900,이문2동,724135.363877409,54514.92891598224,0.075282787770618,18800.0,25961.9968003423,11,0.0,0.5254286304842464,0.0867133480294276,0.9047619047619048,0.5005782814809411,112
11100630,창5동,700942.8272138005,5681.562041146591,0.0081055998015279,23443.0,33444.95312575536,18,1.0,0.6782219970189816,0.0093363133511836,0.8285714285714285,0.500322813850726,113
11040710,왕십리도선동,709747.3188761632,0.0,0.0,26041.0,36690.52253868906,25,0.0,0.7444927936612338,0.0,0.7714285714285715,0.5002540504796358,114
11160630,화곡8동,593251.291764376,0.0,0.0,22870.0,38550.2742555906,27,2.0,0.7824667859427475,0.0,0.7333333333333334,0.5002140393611068,115
11130710,북가좌1동,577555.0391850589,0.0,0.0,17398.0,30123.53597424916,11,0.0,0.6104024767417695,0.0,0.9047619047619048,0.5000042458962125,116
11080610,보문동,552588.387721046,0.0,0.0,16387.0,29654.98436835118,9,1.0,0.6008351915476445,0.0,0.9142857142857144,0.4999898989250084,117
11250590,암사3동,1797967.186667379,763202.1314426179,0.4244805673329616,16867.0,9381.150070521486,18,0.0,0.1868667998823646,0.4889315639987203,0.8380952380952381,0.4995848886521866,118
11070590,상봉1동,853561.8321288726,61345.88329958129,0.0718704620924511,22993.0,26937.70871016228,13,0.0,0.5453515461055936,0.0827829119645172,0.8857142857142857,0.4995700854488508,119
11070710,면목본동,848365.7839382659,0.0,0.0,32554.0,38372.59896182807,28,1.0,0.7788388606811998,0.0,0.7333333333333334,0.4990168240247959,120
11100530,쌍문3동,504423.0192306672,0.0,0.0,16270.0,32254.67391399896,15,1.0,0.6539178637364006,0.0,0.8571428571428572,0.4986500378901551,121
11230510,신사동,2057678.64575626,724804.013994648,0.3522435417646376,24296.0,11807.480264281246,14,1.0,0.2364096733814915,0.4057264314018444,0.8666666666666667,0.4979049145785009,122
11240640,삼전동,952604.6652579844,14812.441042914685,0.0155494105615189,28796.0,30228.699323240737,14,0.0,0.6125497914433028,0.0179103549377283,0.8761904761904762,0.4971947054485974,123
11160510,염창동,1733196.0006624644,537421.7374609236,0.310075569788708,41267.0,23809.77107276204,36,0.0,0.4814826551024503,0.3571558864216938,0.6666666666666667,0.4967507187029676,124
11070700,신내2동,910579.9228567214,199682.97971979863,0.2192920958473828,19121.0,20998.70590163305,19,0.0,0.4240839356168558,0.2525883059120489,0.8285714285714285,0.49673041113311,125
11120650,신사1동,807720.0019274,56894.33650128145,0.0704381919050152,25938.0,32112.61320520248,24,1.0,0.6510171473610279,0.0811331730678423,0.7714285714285715,0.4961810343129558,126
11240680,문정1동,612070.685209791,0.0,0.0,19797.0,32344.303490395818,17,0.0,0.6557479966575629,0.0,0.8476190476190476,0.4961111246112815,127
