trans_id,lang,translation
段原中央,en,Dambara-chuo
段原中央,ko,단바라 추오
段原中央,zh-cn,段原中央
段原中央,zh-tw,段原中央
段原南,ja,段原南
段原南,ja-Hrkt,だんばらみなみ
段原南,en,Dambara-minami
段原南,ko,단바라 미나미
段原南,zh-cn,段原南
段原南,zh-tw,段原南
大学病院入口,ja,大学病院入口
大学病院入口,ja-Hrkt,だいがくびょういんいりぐち
大学病院入口,en,Daigaku Byoin-iriguchi (Univ. Hospital Entrance)
大学病院入口,ko,대학병원
大学病院入口,zh-cn,大学医院入口
大学病院入口,zh-tw,大學醫院入口
出汐一丁目,ja,出汐一丁目
出汐一丁目,ja-Hrkt,でしおいっちょうめ
出汐一丁目,en,Deshio-itchome (Deshio 1)
出汐一丁目,ko,데시오 1초메
出汐一丁目,zh-cn,出汐一丁目
出汐一丁目,zh-tw,出汐一丁目
大学病院前,ja,大学病院前
大学病院前,ja-Hrkt,だいがくびょういんまえ
出汐三丁目,ja,出汐三丁目
出汐三丁目,ja-Hrkt,でしおさんちょうめ
出汐三丁目,en,Deshio-sanchome (Deshio 3)
出汐三丁目,ko,데시오 3초메
出汐三丁目,zh-cn,出汐三丁目
出汐三丁目,zh-tw,出汐三丁目
旭町,ja,旭町
旭町,ja-Hrkt,あさひまち
旭町,en,Asahimachi
旭町,ko,아사히마치
旭町,zh-cn,旭町
旭町,zh-tw,旭町
東翠町,ja,東翠町
東翠町,ja-Hrkt,ひがしみどりまち
東翠町,en,Higashi-midorimachi
東翠町,ko,히가시미도리마치
東翠町,zh-cn,东翠町
東翠町,zh-tw,東翠町
県立広島大学前,ja,県立広島大学前
県立広島大学前,ja-Hrkt,けんりつひろしまだいがくまえ
県立広島大学前,en,Kenritsu Hiroshima Daigaku-mae (Pref. Univ. of Hiroshima-mae)
県立広島大学前,ko,현립 히로시마 대학 앞
県立広島大学前,zh-cn,县立广岛大学前
県立広島大学前,zh-tw,縣立廣島大學前
県病院前,ja,県病院前
県病院前,ja-Hrkt,けんびょういんまえ
県病院前,en,Ken Byoin-mae (Pref. Hospital)
県病院前,ko,겐 뵤인 마에
県病院前,zh-cn,县医院前
県病院前,zh-tw,縣醫院前
西翠町,ja,西翠町
西翠町,ja-Hrkt,にしみどりまち
西翠町,en,Nishi-midorimachi
西翠町,ko,니시미도리마치
西翠町,zh-cn,西翠町
西翠町,zh-tw,西翠町
広大附属学校前,ja,広大附属学校前
広大附属学校前,ja-Hrkt,ひろだいふぞくがっこうまえ
広大附属学校前,en,Hirodai-Fuzokugakko-mae (Hiroshima Univ. School)
広大附属学校前,ko,히로다이후조쿠갓코 마에
広大附属学校前,zh-cn,广大附属学校前
広大附属学校前,zh-tw,廣大附屬學校前
皆実町六丁目,ja,皆実町六丁目
皆実町六丁目,ja-Hrkt,みなみまちろくちょうめ
皆実町六丁目,en,Minamimachi-rokuchome (Minamimachi 6)
皆実町六丁目,ko,미나미마치 6초메
皆実町六丁目,zh-cn,皆实町六丁目
皆実町六丁目,zh-tw,皆實町六丁目
御幸橋,ja,御幸橋
御幸橋,ja-Hrkt,みゆきばし
御幸橋,en,Miyukibashi
御幸橋,ko,미유키바시
御幸橋,zh-cn,御幸桥
御幸橋,zh-tw,禦幸橋
広電本社前,ja,広電本社前
広電本社前,ja-Hrkt,ひろでんほんしゃまえ
広電本社前,en,"Hiroden-honsha-mae(Hiroshima Electric Railway Co., Ltd.)"
広電本社前,ko,히로덴혼샤 마에
広電本社前,zh-cn,广岛电铁总公司前
広電本社前,zh-tw,廣島電鐵總公司前
日赤病院前,ja,日赤病院前
